Subject,TopGenre1,TopGenre2,Prompt
sub-001,1,10,Generate a sub-001 track blending elements of 1 and 10 reflecting high engagement.
sub-002,1,10,Generate a sub-002 track blending elements of 1 and 10 reflecting high engagement.
sub-003,2,4,Generate a sub-003 track blending elements of 2 and 4 reflecting high engagement.
sub-004,1,8,Generate a sub-004 track blending elements of 1 and 8 reflecting high engagement.
sub-005,2,10,Generate a sub-005 track blending elements of 2 and 10 reflecting high engagement.
sub-006,7,9,Generate a sub-006 track blending elements of 7 and 9 reflecting high engagement.
sub-007,3,7,Generate a sub-007 track blending elements of 3 and 7 reflecting high engagement.
sub-008,5,10,Generate a sub-008 track blending elements of 5 and 10 reflecting high engagement.
sub-009,10,12,Generate a sub-009 track blending elements of 10 and 12 reflecting high engagement.
sub-010,7,8,Generate a sub-010 track blending elements of 7 and 8 reflecting high engagement.
